participant,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,chosen_type,mismatch,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,fixations_left,fixations_right,total_fixation,revisits_left,revisits_right,total_revisits,transitions,ffs,ffd,fvs,fvd,cxt
participant_001,b,14,experiment,38,13,1,focus,y,13b,13a,,500.0,467.0,433.0,535.0,516.0,620.0,945.0,,1436.0,right,A,False,right,0.253,0.747,758.0,192.0,566.0,2.0,5.0,7.0,1.0,4.0,5.0,3.0,right,99.0,right,500.0,focus.A
participant_001,b,29,experiment,40,14,1,exclusive,y,14b,14a,14a,508.0,485.0,466.0,466.0,433.0,536.0,1042.0,,3493.0,right,A,False,left,0.808,0.192,1903.0,1537.0,366.0,6.0,1.0,7.0,5.0,0.0,5.0,2.0,left,184.0,left,250.0,exclusive.A
participant_001,b,46,experiment,45,15,1,contrastive,n,15a,15b,15b,379.0,382.0,369.0,369.0,348.0,448.0,1308.0,,4214.0,left,A,True,left,1.0,0.0,378.1,378.1,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,left,54.0,left,378.1,contrastive.A
participant_001,b,18,experiment,47,16,1,focus,n,16a,16b,,544.0,431.0,368.0,404.0,381.0,397.0,856.0,,1814.0,left,A,False,right,0.371,0.629,2071.0,768.0,1303.0,7.0,4.0,11.0,6.0,3.0,9.0,5.0,right,134.0,right,134.0,focus.A
participant_001,b,23,experiment,49,17,1,exclusive,n,17a,17b,17a,492.0,469.0,461.0,469.0,436.0,497.0,690.0,,2108.0,left,A,False,left,0.856,0.144,897.0,768.0,129.0,3.0,2.0,5.0,2.0,1.0,3.0,1.0,right,63.0,right,129.0,exclusive.A
participant_001,b,43,experiment,54,18,1,contrastive,y,18b,18a,18b,500.0,489.0,443.0,451.0,422.0,460.0,685.0,,8221.0,left,B,False,left,0.676,0.324,676.0,457.0,219.0,3.0,3.0,6.0,2.0,2.0,4.0,3.0,left,125.0,left,391.0,contrastive.B
participant_002,a,36,experiment,1,1,1,exclusive,n,1a,1b,1a,559.0,532.0,556.0,696.0,584.0,756.0,906.0,,745.0,left,A,False,right,0.0,1.0,527.0,0.0,527.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,right,408.0,right,527.0,exclusive.A
participant_002,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,467.0,544.0,588.0,586.0,466.0,589.0,819.0,,1456.0,left,B,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,contrastive.B
participant_002,a,18,experiment,8,3,1,focus,y,3b,3a,,741.0,1083.0,963.0,1085.0,1014.0,1345.0,1202.0,,2035.0,right,A,False,left,0.827,0.173,1353.0,1119.0,234.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,left,560.0,left,560.0,focus.A
participant_002,a,43,experiment,10,4,1,exclusive,y,4b,4a,4a,548.0,697.0,574.0,559.0,585.0,620.0,641.0,,1028.0,right,A,False,right,0.0,1.0,637.0,0.0,637.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,right,637.0,right,637.0,exclusive.A
participant_002,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,1239.0,947.0,1051.0,762.0,845.0,943.0,1159.0,,2306.0,left,A,True,right,0.336,0.664,1893.0,636.0,1257.0,1.0,3.0,4.0,0.0,2.0,2.0,2.0,right,635.0,right,770.0,contrastive.A
participant_002,a,13,experiment,17,6,1,focus,n,6a,6b,,636.0,745.0,770.0,780.0,787.0,949.0,1263.0,,1010.0,left,A,False,left,0.734,0.266,1037.0,761.0,276.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,left,152.0,left,152.0,focus.A
participant_002,a,49,experiment,19,7,1,exclusive,n,7a,7b,7a,548.0,604.0,524.0,521.0,575.0,678.0,510.0,,831.0,left,A,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,exclusive.A
participant_002,a,47,experiment,24,8,1,contrastive,y,8b,8a,8b,540.0,578.0,557.0,596.0,520.0,700.0,652.0,,564.0,right,A,True,left,0.767,0.233,618.0,474.0,144.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,right,144.0,right,144.0,contrastive.A
participant_002,a,35,experiment,26,9,1,focus,y,9b,9a,,634.0,553.0,536.0,623.0,551.0,706.0,820.0,,989.0,right,A,False,right,0.0,1.0,257.1,0.0,257.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,right,257.1,right,257.1,focus.A
participant_002,a,45,experiment,28,10,1,exclusive,y,10b,10a,10a,653.0,578.0,593.0,603.0,508.0,715.0,677.0,,807.0,right,A,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,exclusive.A
participant_002,a,42,experiment,33,11,1,contrastive,n,11a,11b,11b,625.0,566.0,725.0,602.0,681.0,816.0,744.0,,995.0,left,A,True,right,0.347,0.653,505.0,175.0,330.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,left,175.0,left,175.0,contrastive.A
participant_002,a,27,experiment,35,12,1,focus,n,12a,12b,,533.0,667.0,551.0,765.0,786.0,894.0,866.0,,1193.0,left,A,False,right,0.0,1.0,109.0,0.0,109.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,right,52.0,right,109.0,focus.A
participant_002,a,38,experiment,37,13,1,exclusive,n,13a,13b,13a,621.0,587.0,542.0,606.0,658.0,648.0,864.0,,902.0,left,A,False,left,0.775,0.225,444.0,344.0,100.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,left,96.0,left,96.0,exclusive.A
participant_002,a,31,experiment,42,14,1,contrastive,y,14b,14a,14b,1126.0,595.0,682.0,695.0,629.0,841.0,871.0,,6493.0,right,A,True,left,1.0,0.0,509.0,509.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,left,52.0,left,509.0,contrastive.A
participant_002,a,29,experiment,44,15,1,focus,y,15b,15a,,541.0,689.0,642.0,728.0,710.0,831.0,834.0,,649.0,right,A,False,left,0.568,0.432,4890.1,2778.0,2112.1,11.0,10.0,21.0,10.0,9.0,19.0,14.0,left,76.0,left,76.0,focus.A
participant_002,a,40,experiment,46,16,1,exclusive,y,16b,16a,16a,645.0,570.0,532.0,625.0,652.0,628.0,744.0,,656.0,right,A,False,left,0.742,0.258,815.0,605.0,210.0,4.0,1.0,5.0,3.0,0.0,3.0,1.0,right,210.0,right,210.0,exclusive.A
participant_002,a,34,experiment,51,17,1,contrastive,n,17a,17b,17b,637.0,572.0,673.0,646.0,693.0,705.0,984.0,,823.0,left,A,True,left,0.708,0.292,319.0,226.0,93.0,3.0,1.0,4.0,2.0,0.0,2.0,2.0,left,65.0,left,118.0,contrastive.A
participant_002,a,21,experiment,53,18,1,focus,n,18a,18b,,650.0,681.0,1042.0,832.0,961.0,1063.0,1575.0,,5059.0,left,A,False,right,0.0,1.0,257.1,0.0,257.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,right,257.1,right,257.1,focus.A
participant_003,c,33,experiment,3,1,1,contrastive,n,1a,1b,1b,483.0,396.0,428.0,405.0,402.0,612.0,481.0,,1130.0,right,B,False,left,0.666,0.334,386.1,257.1,129.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,right,129.0,right,129.0,contrastive.B
participant_003,c,36,experiment,5,2,1,focus,n,2a,2b,,440.0,342.0,384.0,444.0,431.0,484.0,476.0,,1052.0,left,A,False,right,0.262,0.738,1961.4,514.3,1447.1,2.0,7.0,9.0,1.0,6.0,7.0,4.0,right,261.0,right,261.0,focus.A
participant_003,c,34,experiment,7,3,1,exclusive,n,3a,3b,3a,473.0,393.0,366.0,443.0,408.0,888.0,383.0,,1006.0,left,A,False,left,1.0,0.0,828.0,828.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,left,57.0,left,828.0,exclusive.A
participant_003,c,47,experiment,12,4,1,contrastive,y,4b,4a,4b,449.0,346.0,370.0,468.0,373.0,349.0,434.0,,1091.0,left,B,False,right,0.303,0.697,749.0,227.0,522.0,3.0,1.0,4.0,2.0,0.0,2.0,1.0,left,90.0,left,227.0,contrastive.B
participant_003,c,27,experiment,14,5,1,focus,y,5b,5a,,512.0,539.0,449.0,383.0,434.0,397.0,576.0,,1985.0,right,A,False,left,0.873,0.127,2421.1,2114.0,307.1,6.0,2.0,8.0,5.0,1.0,6.0,1.0,right,50.0,right,307.1,focus.A
participant_003,c,17,experiment,16,6,1,exclusive,y,6b,6a,6a,502.0,501.0,492.0,481.0,445.0,541.0,456.0,,1475.0,right,A,False,left,1.0,0.0,1277.0,1277.0,0.0,5.0,0.0,5.0,4.0,0.0,4.0,0.0,left,131.0,left,1277.0,exclusive.A
participant_003,c,49,experiment,21,7,1,contrastive,n,7a,7b,7b,458.0,311.0,329.0,326.0,301.0,353.0,380.0,,1072.0,right,B,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,contrastive.B
participant_003,c,12,experiment,23,8,1,focus,n,8a,8b,,748.0,669.0,468.0,504.0,546.0,604.0,505.0,,1880.0,left,A,False,right,0.486,0.514,892.1,434.0,458.1,3.0,3.0,6.0,2.0,2.0,4.0,3.0,left,94.0,left,144.0,focus.A
participant_003,c,40,experiment,25,9,1,exclusive,n,9a,9b,9a,481.0,397.0,325.0,494.0,417.0,404.0,475.0,,1227.0,left,A,False,left,0.563,0.437,588.1,331.0,257.1,3.0,1.0,4.0,2.0,0.0,2.0,1.0,left,86.0,left,331.0,exclusive.A
participant_003,c,43,experiment,30,10,1,contrastive,y,10b,10a,10b,455.0,392.0,351.0,489.0,439.0,413.0,800.0,,1240.0,left,B,False,right,0.171,0.829,852.0,146.0,706.0,2.0,3.0,5.0,1.0,2.0,3.0,3.0,left,92.0,left,92.0,contrastive.B
participant_003,c,22,experiment,32,11,1,focus,y,11b,11a,,434.0,549.0,479.0,435.0,492.0,728.0,582.0,,1453.0,right,A,False,right,0.4,0.6,1260.0,504.0,756.0,3.0,3.0,6.0,2.0,2.0,4.0,2.0,right,133.0,right,133.0,focus.A
participant_003,c,10,experiment,34,12,1,exclusive,y,12b,12a,12a,848.0,913.0,1243.0,988.0,1078.0,1042.0,2302.0,,1895.0,right,A,False,left,0.796,0.204,692.0,551.0,141.0,4.0,1.0,5.0,3.0,0.0,3.0,2.0,left,162.0,left,162.0,exclusive.A
participant_003,c,20,experiment,39,13,1,contrastive,n,13a,13b,13b,556.0,465.0,464.0,481.0,414.0,397.0,865.0,,5265.0,right,B,False,right,0.0,1.0,1356.0,0.0,1356.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,right,180.0,right,1356.0,contrastive.B
participant_003,c,29,experiment,41,14,1,focus,n,14a,14b,,462.0,381.0,332.0,435.0,435.0,684.0,1017.0,,4251.0,left,A,False,right,0.268,0.732,1235.0,331.0,904.0,2.0,4.0,6.0,1.0,3.0,4.0,1.0,left,139.0,left,331.0,focus.A
participant_003,c,15,experiment,43,15,1,exclusive,n,15a,15b,15a,701.0,553.0,593.0,669.0,523.0,935.0,636.0,,2900.0,left,A,False,right,0.104,0.896,820.0,85.0,735.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,right,85.0,right,85.0,exclusive.A
participant_003,c,25,experiment,48,16,1,contrastive,y,16b,16a,16b,451.0,398.0,458.0,467.0,448.0,445.0,918.0,,1263.0,left,B,False,left,0.63,0.37,1553.0,978.0,575.0,4.0,1.0,5.0,3.0,0.0,3.0,1.0,left,341.0,left,978.0,contrastive.B
participant_003,c,24,experiment,50,17,1,focus,y,17b,17a,,423.0,393.0,350.0,405.0,1088.0,780.0,1119.0,,1520.0,right,A,False,left,0.718,0.282,913.1,656.0,257.1,4.0,1.0,5.0,3.0,0.0,3.0,1.0,left,70.0,left,656.0,focus.A
participant_003,c,38,experiment,52,18,1,exclusive,y,18b,18a,18a,448.0,348.0,1172.0,443.0,536.0,494.0,446.0,,6264.0,right,A,False,left,0.738,0.262,1034.0,763.0,271.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,left,51.0,left,51.0,exclusive.A
participant_004,a,36,experiment,1,1,1,exclusive,n,1a,1b,1a,520.0,562.0,546.0,589.0,532.0,649.0,561.0,,1476.0,left,A,False,left,1.0,0.0,771.0,771.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,left,62.0,left,771.0,exclusive.A
participant_004,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,532.0,504.0,508.0,518.0,520.0,525.0,453.0,,1140.0,left,B,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,contrastive.B
participant_004,a,18,experiment,8,3,1,focus,y,3b,3a,,538.0,610.0,602.0,670.0,678.0,762.0,606.0,,4601.0,right,A,False,left,0.728,0.272,1267.0,923.0,344.0,4.0,1.0,5.0,3.0,0.0,3.0,2.0,left,66.0,left,325.0,focus.A
participant_004,a,43,experiment,10,4,1,exclusive,y,4b,4a,4a,474.0,776.0,513.0,684.0,627.0,593.0,548.0,,1136.0,right,A,False,right,0.0,1.0,1309.0,0.0,1309.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,right,630.0,right,1309.0,exclusive.A
participant_004,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,841.0,871.0,776.0,762.0,812.0,1133.0,1083.0,,3480.0,left,A,True,right,0.423,0.577,1068.0,452.0,616.0,4.0,1.0,5.0,3.0,0.0,3.0,1.0,left,85.0,left,452.0,contrastive.A
participant_004,a,13,experiment,17,6,1,focus,n,6a,6b,,516.0,783.0,675.0,648.0,754.0,739.0,552.0,,3011.0,left,A,False,left,0.848,0.152,1389.0,1178.0,211.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,left,606.0,left,606.0,focus.A
participant_004,a,49,experiment,19,7,1,exclusive,n,7a,7b,7a,544.0,597.0,536.0,604.0,548.0,663.0,922.0,,1384.0,left,A,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,exclusive.A
participant_004,a,47,experiment,24,8,1,contrastive,y,8b,8a,8b,495.0,502.0,500.0,464.0,524.0,463.0,585.0,,1182.0,left,B,False,left,1.0,0.0,992.0,992.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,left,66.0,left,992.0,contrastive.B
participant_004,a,35,experiment,26,9,1,focus,y,9b,9a,,586.0,660.0,552.0,620.0,681.0,668.0,800.0,,1120.0,right,A,False,right,0.0,1.0,307.1,0.0,307.1,0.0,2.0,2.0,0.0,1.0,1.0,0.0,right,50.0,right,307.1,focus.A
participant_004,a,45,experiment,28,10,1,exclusive,y,10b,10a,10a,1024.0,532.0,606.0,533.0,561.0,588.0,543.0,,1377.0,right,A,False,left,0.92,0.08,845.0,777.0,68.0,5.0,1.0,6.0,4.0,0.0,4.0,2.0,left,64.0,left,64.0,exclusive.A
participant_004,a,42,experiment,33,11,1,contrastive,n,11a,11b,11b,498.0,614.0,742.0,581.0,548.0,650.0,553.0,,1027.0,right,B,False,left,1.0,0.0,638.0,638.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,left,135.0,left,638.0,contrastive.B
participant_004,a,27,experiment,35,12,1,focus,n,12a,12b,,589.0,600.0,491.0,613.0,607.0,745.0,626.0,,1088.0,left,A,False,right,0.43,0.57,1315.0,565.0,750.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,left,132.0,left,565.0,focus.A
participant_004,a,38,experiment,37,13,1,exclusive,n,13a,13b,13a,583.0,606.0,502.0,515.0,571.0,662.0,579.0,,1452.0,left,A,False,right,0.219,0.781,842.0,184.0,658.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,left,184.0,left,184.0,exclusive.A
participant_004,a,31,experiment,42,14,1,contrastive,y,14b,14a,14b,566.0,622.0,911.0,604.0,566.0,673.0,988.0,,3852.0,left,B,False,left,0.85,0.15,1154.0,981.0,173.0,5.0,2.0,7.0,4.0,1.0,5.0,2.0,left,115.0,left,115.0,contrastive.B
participant_004,a,29,experiment,44,15,1,focus,y,15b,15a,,600.0,859.0,668.0,641.0,657.0,743.0,667.0,,1619.0,right,A,False,left,0.669,0.331,2880.0,1926.0,954.0,9.0,4.0,13.0,8.0,3.0,11.0,5.0,right,266.0,right,266.0,focus.A
participant_004,a,40,experiment,46,16,1,exclusive,y,16b,16a,16a,491.0,651.0,616.0,597.0,535.0,633.0,801.0,,1138.0,right,A,False,right,0.0,1.0,728.0,0.0,728.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,right,67.0,right,728.0,exclusive.A
participant_004,a,34,experiment,51,17,1,contrastive,n,17a,17b,17b,715.0,745.0,859.0,861.0,781.0,718.0,2420.0,,1178.0,left,A,True,left,0.708,0.292,1130.0,800.0,330.0,4.0,2.0,6.0,3.0,1.0,4.0,1.0,right,197.0,right,330.0,contrastive.A
participant_004,a,21,experiment,53,18,1,focus,n,18a,18b,,494.0,599.0,599.0,520.0,537.0,586.0,621.0,,1185.0,left,A,False,right,0.287,0.713,1209.0,347.0,862.0,2.0,3.0,5.0,1.0,2.0,3.0,1.0,left,68.0,left,347.0,focus.A
participant_005,a,36,experiment,1,1,1,exclusive,n,1a,1b,1a,483.0,411.0,433.0,511.0,520.0,726.0,651.0,,2434.0,left,A,False,left,0.596,0.404,1676.0,999.0,677.0,4.0,1.0,5.0,3.0,0.0,3.0,2.0,left,81.0,left,81.0,exclusive.A
participant_005,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,409.0,368.0,328.0,372.0,338.0,320.0,341.0,,1971.0,left,B,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,contrastive.B
participant_005,a,18,experiment,8,3,1,focus,y,3b,3a,,426.0,524.0,259.0,334.0,338.0,404.0,463.0,,2060.0,right,A,False,left,0.753,0.247,2086.0,1571.0,515.0,3.0,2.0,5.0,2.0,1.0,3.0,3.0,right,323.0,right,323.0,focus.A
participant_005,a,43,experiment,10,4,1,exclusive,y,4b,4a,4a,476.0,364.0,425.0,523.0,443.0,493.0,792.0,,1837.0,right,A,False,right,0.0,1.0,1580.0,0.0,1580.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,right,135.0,right,1580.0,exclusive.A
participant_005,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,495.0,451.0,453.0,440.0,462.0,491.0,708.0,,1497.0,right,B,False,right,0.407,0.593,2222.0,904.0,1318.0,3.0,2.0,5.0,2.0,1.0,3.0,1.0,left,125.0,left,904.0,contrastive.B
participant_005,a,13,experiment,17,6,1,focus,n,6a,6b,,454.0,368.0,369.0,459.0,464.0,393.0,618.0,,1444.0,left,A,False,left,0.545,0.455,695.1,379.1,316.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,left,122.0,left,122.0,focus.A
participant_005,a,49,experiment,19,7,1,exclusive,n,7a,7b,7a,422.0,338.0,334.0,351.0,431.0,452.0,454.0,,1754.0,left,A,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,exclusive.A
participant_005,a,47,experiment,24,8,1,contrastive,y,8b,8a,8b,409.0,365.0,395.0,390.0,402.0,395.0,403.0,,1985.0,left,B,False,left,0.813,0.187,411.1,334.1,77.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,right,77.0,right,77.0,contrastive.B
participant_005,a,35,experiment,26,9,1,focus,y,9b,9a,,411.0,289.0,576.0,21.0,1232.0,474.0,951.0,,1939.0,right,A,False,right,0.37,0.63,1439.0,533.0,906.0,4.0,3.0,7.0,3.0,2.0,5.0,3.0,left,76.0,left,390.0,focus.A
participant_005,a,45,experiment,28,10,1,exclusive,y,10b,10a,10a,550.0,414.0,464.0,414.0,416.0,410.0,443.0,,2207.0,right,A,False,left,0.942,0.058,1523.0,1435.0,88.0,4.0,1.0,5.0,3.0,0.0,3.0,2.0,left,51.0,left,51.0,exclusive.A
participant_005,a,42,experiment,33,11,1,contrastive,n,11a,11b,11b,484.0,471.0,443.0,463.0,441.0,435.0,623.0,,1488.0,right,B,False,left,0.688,0.312,962.1,662.1,300.0,3.0,3.0,6.0,2.0,2.0,4.0,3.0,right,50.0,right,50.0,contrastive.B
participant_005,a,27,experiment,35,12,1,focus,n,12a,12b,,545.0,316.0,313.0,322.0,309.0,335.0,554.0,,1671.0,left,A,False,right,0.23,0.77,1588.0,365.0,1223.0,2.0,4.0,6.0,1.0,3.0,4.0,1.0,left,80.0,left,365.0,focus.A
participant_005,a,38,experiment,37,13,1,exclusive,n,13a,13b,13a,475.0,353.0,325.0,591.0,490.0,493.0,630.0,,2297.0,left,A,False,left,0.585,0.415,619.1,362.0,257.1,2.0,1.0,3.0,1.0,0.0,1.0,1.0,left,143.0,left,362.0,exclusive.A
participant_005,a,31,experiment,42,14,1,contrastive,y,14b,14a,14b,436.0,362.0,1127.0,464.0,408.0,861.0,895.0,,3260.0,left,B,False,left,0.869,0.131,1069.1,929.1,140.0,4.0,2.0,6.0,3.0,1.0,4.0,3.0,right,67.0,right,67.0,contrastive.B
participant_005,a,29,experiment,44,15,1,focus,y,15b,15a,,438.0,348.0,384.0,401.0,384.0,453.0,430.0,,1879.0,right,A,False,left,0.769,0.231,2092.1,1608.0,484.1,6.0,3.0,9.0,5.0,2.0,7.0,3.0,right,257.1,right,257.1,focus.A
participant_005,a,40,experiment,46,16,1,exclusive,y,16b,16a,16a,429.0,358.0,373.0,414.0,432.0,475.0,762.0,,1904.0,right,A,False,right,0.0,1.0,422.1,0.0,422.1,0.0,3.0,3.0,0.0,2.0,2.0,0.0,right,82.0,right,422.1,exclusive.A
participant_005,a,34,experiment,51,17,1,contrastive,n,17a,17b,17b,436.0,355.0,475.0,471.0,452.0,484.0,587.0,,5226.0,right,B,False,left,0.656,0.344,1816.0,1192.0,624.0,3.0,4.0,7.0,2.0,3.0,5.0,1.0,right,80.0,right,624.0,contrastive.B
participant_005,a,21,experiment,53,18,1,focus,n,18a,18b,,490.0,376.0,324.0,379.0,315.0,377.0,545.0,,1921.0,left,A,False,left,0.56,0.44,776.1,435.0,341.1,2.0,2.0,4.0,1.0,1.0,2.0,2.0,right,84.0,right,84.0,focus.A
participant_006,a,36,experiment,1,1,1,exclusive,n,1a,1b,1a,596.0,693.0,604.0,748.0,588.0,627.0,660.0,,1135.0,left,A,False,left,1.0,0.0,257.1,257.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,left,257.1,left,257.1,exclusive.A
participant_006,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,667.0,618.0,629.0,675.0,555.0,579.0,496.0,,881.0,left,B,False,,,,1067.6402586206896,,,,,4.874137931034483,,,,1.9,,220.05172413793105,,406.4448275862069,contrastive.B
participant_006,a,18,experiment,8,3,1,focus,y,3b,3a,,681.0,970.0,868.0,759.0,749.0,1080.0,1282.0,,1757.0,right,A,False,left,0.923,0.077,1345.0,1241.0,104.0,5.0,2.0,7.0,4.0,1.0,5.0,4.0,left,156.0,left,210.0,focus.A
participant_006,a,43,experiment,10,4,1,exclusive,y,4b,4a,4a,762.0,1001.0,586.0,650.0,603.0,782.0,684.0,,1335.0,right,A,False,right,0.0,1.0,527.0,0.0,527.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,right,169.0,right,527.0,exclusive.A
participant_006,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,907.0,957.0,824.0,770.0,993.0,1297.0,1467.0,,4409.0,right,B,False,left,0.762,0.238,500.1,381.1,119.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,left,124.0,left,124.0,contrastive.B
participant_006,a,13,experiment,17,6,1,focus,n,6a,6b,,839.0,1156.0,1357.0,1274.0,918.0,940.0,884.0,,1976.0,left,A,False,left,0.93,0.07,762.1,709.1,53.0,5.0,1.0,6.0,4.0,0.0,4.0,2.0,left,121.0,left,342.0,focus.A
